,0,1,2,3,4,5
0,1.0,0.0,1.0,0.0,0.0,1.0
1,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,1.0,0.0,0.0,0.0,1.0
3,1.0,1.0,0.0,0.0,1.0,1.0
4,1.0,1.0,1.0,1.0,0.0,1.0
5,1.0,1.0,0.0,0.0,1.0,0.0
6,1.0,1.0,1.0,0.0,0.0,1.0
7,1.0,1.0,0.0,0.0,0.0,1.0
8,0.0,0.0,1.0,1.0,1.0,1.0
9,1.0,1.0,0.0,1.0,0.0,0.0
10,1.0,0.0,0.0,1.0,0.0,1.0
11,1.0,1.0,0.0,1.0,0.0,0.0
12,1.0,1.0,1.0,0.0,0.0,0.0
13,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,0.0,0.0,1.0
15,1.0,0.0,1.0,0.0,1.0,1.0
16,1.0,1.0,0.0,0.0,0.0,0.0
17,1.0,1.0,1.0,0.0,0.0,1.0
18,1.0,1.0,0.0,1.0,0.0,1.0
19,1.0,1.0,0.0,0.0,0.0,1.0
20,1.0,1.0,1.0,0.0,0.0,0.0
21,1.0,0.0,1.0,1.0,1.0,1.0
22,0.0,1.0,0.0,1.0,0.0,0.0
23,0.0,0.0,0.0,1.0,0.0,1.0
24,1.0,1.0,1.0,1.0,0.0,0.0
25,0.0,0.0,0.0,1.0,0.0,1.0
26,1.0,1.0,1.0,0.0,1.0,1.0
27,1.0,1.0,0.0,1.0,0.0,1.0
28,0.0,1.0,1.0,1.0,0.0,0.0
29,1.0,1.0,1.0,0.0,1.0,1.0
30,0.0,1.0,0.0,1.0,0.0,1.0
31,0.0,1.0,0.0,1.0,1.0,1.0
32,1.0,1.0,0.0,1.0,1.0,0.0
33,1.0,1.0,0.0,0.0,0.0,1.0
34,1.0,1.0,1.0,1.0,0.0,1.0
35,1.0,1.0,0.0,0.0,0.0,0.0
36,1.0,1.0,0.0,0.0,0.0,0.0
37,1.0,1.0,1.0,1.0,0.0,0.0
38,1.0,1.0,1.0,1.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,1.0
40,1.0,1.0,1.0,0.0,0.0,0.0
41,0.0,1.0,1.0,0.0,0.0,1.0
42,1.0,1.0,1.0,1.0,0.0,1.0
43,1.0,0.0,1.0,1.0,0.0,0.0
