0,1,2,3
0.04772807,0.56476545,0.4765525,-0.1265477
0.30284014,0.74906754,0.5797084,-0.0052040815
0.33754143,-0.80997115,0.5655107,-0.20916593
0.7678777,-0.49617267,0.7361354,0.0012687445
0.56240165,-0.7129808,0.7485969,-0.23769459
0.75506455,-0.49200046,0.73132604,0.015552245
0.36509275,-0.89226174,0.72755975,-0.41028515
0.8603174,-0.41089422,0.7839863,0.06947383
-0.07526956,0.14392015,0.8771079,-0.8656062
0.74179214,-0.551799,0.8163787,-0.102274396
-0.002444528,0.1776281,0.92855114,-0.8683163
0.9148076,-0.45516157,0.91933244,-0.07600367
0.46568754,-0.979584,0.9864014,-0.6908637
0.75259453,-0.49021447,0.77416533,0.0029679984
-0.085643545,0.3523395,0.63767356,-0.45009515
0.27121234,0.74864906,0.62080693,-0.0067026317
0.5246072,-0.74800545,0.80628824,-0.29554403
0.18446982,0.7026838,0.5822968,-0.021119192
0.032816537,0.34769952,0.8385457,-0.59046865
0.89113885,-0.4479909,0.9455115,-0.06392794
0.022879444,0.47863954,0.68981004,-0.32845613
0.22503224,0.71483684,0.6666475,-0.054175615
0.35483935,-0.94089913,0.88337153,-0.539706
0.23516724,0.6825126,0.7328754,-0.13384189
0.4146001,-0.9370518,1.0012882,-0.6074443
0.27065706,0.74516666,0.75214785,-0.06229128
0.5000096,-0.80009866,0.9482629,-0.4181409
0.16009071,0.6118509,0.76962084,-0.22046527
0.477488,-0.77240384,0.9039958,-0.34814185
0.76990455,-0.41101468,0.84753674,0.08758435
-0.12772268,0.20466776,0.91709155,-0.76336086
0.6772035,-0.4616481,0.8070403,0.069615364
-0.15799507,0.2547115,0.8691647,-0.6541375
0.2814063,0.8713342,0.6987096,0.14598574
0.38032678,-0.8928499,0.9871729,-0.51826465
0.7115889,-0.41542357,0.84405524,0.109755784
0.37678507,-0.8347211,0.93112236,-0.4061982
0.68133706,-0.5027352,0.9239854,-0.04011645
0.40256646,-0.74854434,0.91093713,-0.2789321
0.65570045,-0.42571312,0.85043806,0.11799833
0.5221514,-0.87411034,1.2219241,-0.6469909
0.27383107,0.8508488,0.7931029,0.08194761
-0.006023295,0.45125473,0.92565435,-0.44737372
0.5901241,-0.54983544,0.9452204,-0.07713911
0.4371806,-0.8097372,1.0572302,-0.44508868
0.5969685,-0.4899981,0.8841149,0.03457272
0.5960602,-0.6866174,1.1277676,-0.35919538
0.49256882,-0.58870757,0.88499504,-0.067250334
0.46763042,-0.62380975,0.8947921,-0.112870164
0.4724846,-0.6355711,0.9145209,-0.14072794
0.56690246,-0.68882185,1.1260269,-0.34810966
0.08729202,0.66038,0.84648466,-0.1414614
0.53070414,-0.57067394,0.9594813,-0.086377874
0.145969,0.5104425,1.1100011,-0.49970534
0.52319235,-0.7244201,1.1290281,-0.38299838
0.003631942,0.4923151,0.95388716,-0.4000546
0.55098444,-0.7040001,1.1558657,-0.37525815
0.08239309,0.3892411,1.1878774,-0.684821
0.4898375,-0.5522766,0.9351886,-0.02959847
0.034704395,0.48925114,1.0441296,-0.45414475
0.13555026,0.4359616,1.2316883,-0.6554116
0.0058097616,0.73120725,0.72661644,0.05140902
0.58845234,-0.7798752,1.3387933,-0.57929444
0.59860975,-0.6707494,1.2244604,-0.37335202
0.07991282,0.45970482,1.1667883,-0.5678575
0.01836162,0.76168,0.7387802,0.08736165
