0,1,2
0.049624205,0.87379795,0.020704955
-0.2617023,1.0695488,-0.043462038
-0.39733893,-0.11435014,-0.40233514
-0.92912024,0.21819344,-0.50951487
-0.516569,0.01006927,-0.49348164
-0.9378633,0.2237422,-0.51211536
-0.1859734,-0.1663299,-0.46797007
-1.071657,0.31315428,-0.54746133
0.98013747,0.53046906,-0.11229643
-0.7950048,0.18228294,-0.5485262
0.9342931,0.57113224,-0.1375068
-0.941603,0.2922154,-0.6023835
0.06781897,-0.20878956,-0.5730541
-0.92441493,0.23843342,-0.5423527
0.50752443,0.7008805,-0.04167521
-0.24322635,1.0861901,-0.080928385
-0.4281249,-0.006862331,-0.5296713
-0.16919667,1.0376456,-0.06374085
0.5868794,0.7328662,-0.13652956
-0.9432133,0.31187344,-0.6304609
0.2908089,0.84099156,-0.09438583
-0.16109794,1.0686766,-0.112357676
-0.036304265,-0.17539,-0.55546653
-0.077037185,1.0491108,-0.14008382
-0.0011593997,-0.14747784,-0.61699826
-0.18603909,1.1198504,-0.16767348
-0.27667254,-0.021369021,-0.6110412
0.07052693,0.99199575,-0.15934946
-0.34307426,0.0013106875,-0.6000649
-1.0416648,0.34653902,-0.61886805
0.8876793,0.6199022,-0.1810556
-0.9595364,0.29312977,-0.6003144
0.7794946,0.6682734,-0.17937881
-0.43772656,1.2462608,-0.18080321
-0.08536935,-0.095410705,-0.6368317
-1.0316098,0.3504392,-0.6333263
-0.21299627,-0.044706825,-0.62453157
-0.8395136,0.27910778,-0.6603058
-0.37965685,0.04316373,-0.6385444
-1.0071402,0.3500566,-0.6511787
-0.036949158,-0.031123023,-0.7566328
-0.36337513,1.2512177,-0.23797294
0.43369088,0.88214076,-0.25029013
-0.7400481,0.24710238,-0.68411064
-0.21331862,0.009478796,-0.70012325
-0.8733466,0.29654026,-0.6658158
-0.42000282,0.1426729,-0.7477646
-0.6867488,0.20225859,-0.6587685
-0.6174247,0.16936973,-0.6587261
-0.5885954,0.16080424,-0.6655145
-0.41497535,0.144623,-0.7549937
0.015813977,1.0815262,-0.2542474
-0.69306475,0.23757236,-0.70399106
0.38816828,0.9763054,-0.34985778
-0.34629536,0.11241822,-0.75618565
0.36907214,0.9352696,-0.28317025
-0.37480277,0.13858953,-0.7737716
0.643273,0.8715033,-0.37203458
-0.73370856,0.25850135,-0.70839846
0.40778354,0.9522885,-0.332449
0.5718435,0.92812866,-0.4038121
-0.155206,1.1416839,-0.22934124
-0.16764775,0.09818703,-0.8528939
-0.41173124,0.1879154,-0.81833225
0.5065809,0.9460458,-0.38794366
-0.20687115,1.1776867,-0.24613348
-0.49982947,0.19737418,-0.7760614
-0.1232647,0.0805763,-0.8581844
-0.19245648,1.173404,-0.24952766
-0.63409406,0.22989033,-0.73462665
0.5726605,0.941656,-0.4245287
-0.37980652,0.14745651,-0.7860699
-0.2515357,0.13196427,-0.8471187
-0.3082283,0.16601697,-0.85668176
0.46675405,0.9805022,-0.41306758
-0.065622926,1.1558855,-0.3106217
-0.5098609,0.24018678,-0.83111376
0.18477622,1.066739,-0.34994373
-0.8188849,0.32954243,-0.755075
-0.36311376,0.16954443,-0.82966286
0.40552887,1.0085264,-0.41174376
0.09925428,1.1093572,-0.35271838
0.6306651,0.9170522,-0.43202433
-0.42255569,0.19212198,-0.8222125
-0.8882089,0.36243132,-0.7551173
0.31629154,1.0227478,-0.3743651
-0.4134909,0.24007481,-0.8939693
-0.86487824,0.36681122,-0.7778619
-0.7348243,0.34587237,-0.8327841
-0.39080417,0.20924307,-0.8679653
-0.20665789,0.18206647,-0.9487173
-0.08779064,1.15756,-0.30251247
0.27743074,1.0741259,-0.42262894
-0.4912119,0.23514384,-0.840548
-0.6227272,0.27913514,-0.81612664
-0.09281832,1.1915057,-0.34526637
-0.4470018,0.23921737,-0.87387055
-0.7595921,0.3394662,-0.8100848
0.33169606,1.0462039,-0.42042676
-0.12860751,1.2001733,-0.33495197
-0.74921495,0.32507646,-0.79893434
-0.43112606,0.2477779,-0.89674693
0.4654655,1.0536618,-0.51550233
-0.09314042,1.2097956,-0.37087503
0.23029818,1.1161572,-0.450308
-0.78614336,0.33850664,-0.7935121
-0.20470172,0.19083132,-0.96454173
0.3809337,1.0522274,-0.46097842
0.60703593,0.97767496,-0.50439894
0.5377119,1.0105639,-0.50444126
0.4909014,1.0343052,-0.5065117
-0.9145873,0.4115789,-0.81047845
-0.54594845,0.27796137,-0.86593544
-0.12600729,1.208254,-0.34954193
-0.885263,0.3989349,-0.8136091
-0.88704616,0.4043815,-0.81973565
-0.19610783,0.18188815,-0.9595178
-0.52749646,0.31968135,-0.9338573
-0.37393856,0.24554245,-0.93350905
-0.50173855,0.31793064,-0.94924104
-0.09896135,1.2410308,-0.41243985
-0.5370325,0.28662407,-0.88528585
-0.6588389,0.3778841,-0.9313869
-0.21430308,1.3721629,-0.51570773
-0.67144614,0.31574583,-0.8414276
-0.9448783,0.5149882,-0.93415684
0.29204208,1.0948716,-0.46750155
-0.23713887,1.3996001,-0.5392883
0.71705174,0.9095955,-0.48902115
-0.10398924,1.3108722,-0.5051768
0.5602734,0.9512591,-0.44555828
-0.089574575,1.3065895,-0.5085709
-0.6879662,0.34376505,-0.8697687
-0.9011393,0.49806154,-0.9406817
0.19861835,1.0596958,-0.3631718
-1.0700781,0.59545714,-0.9644788
-0.1978431,0.13717748,-0.9047333
-0.17913407,1.3391007,-0.49680093
0.1412816,1.0944326,-0.37396923
-0.85643417,0.4980566,-0.97034645
0.00089097023,0.08403385,-0.96084756
-0.34596765,1.4486555,-0.5388459
-0.70302516,0.38462758,-0.9175918
-1.026017,0.5961363,-0.99537796
0.2042898,1.0968575,-0.4191495
-0.44087684,1.4975065,-0.54545546
0.34145257,1.1151067,-0.53000414
-0.9231581,0.5390262,-0.98497885
-0.47561067,0.28362837,-0.928088
-0.3001234,1.4438881,-0.56361854
0.4208319,1.0502222,-0.49443695
-0.2118522,1.412745,-0.57785726
-0.315266,0.23107159,-0.9592978
-0.85529524,0.52918977,-1.0154374
-0.23962623,0.19876468,-0.9640158
-1.119143,0.6395407,-0.995861
0.46392703,0.99808383,-0.4522132
-0.9868105,0.57318103,-0.9910159
0.420683,1.0109321,-0.44203058
-0.9463158,0.5488577,-0.98418516
-0.2662015,0.2587795,-1.0278815
-1.0441473,0.60791785,-1.0018134
0.16478509,1.113024,-0.41866472
-1.1011622,0.6602605,-1.0369852
0.43185285,1.1069399,-0.58201814
-0.8930169,0.57580537,-1.058809
0.3627018,1.1181444,-0.5540284
-1.1006672,0.6920777,-1.0833104
-0.509122,0.3545624,-1.0079553
-0.1321271,1.3762835,-0.5861919
0.38813776,1.0987879,-0.54503775
-0.28697318,1.4517906,-0.5890089
0.3547759,1.1013249,-0.52736247
-0.3093379,1.500228,-0.63938737
-0.16752926,0.22406378,-1.0504973
-1.0758753,0.6734053,-1.0755541
0.62897676,1.0375586,-0.6162268
-0.2552215,1.433016,-0.58477867
0.63935375,1.0590645,-0.65505934
-0.32211858,1.5315655,-0.6774261
-0.5594753,0.4359098,-1.0917892
-1.068892,0.7200159,-1.1485906
0.43172735,1.1502583,-0.6491052
-1.1307611,0.74872416,-1.1485012
-0.5633639,0.46509293,-1.1296508
-0.46544862,1.6238161,-0.71418357
-0.2593435,0.3487085,-1.1680051
-0.2642631,1.5035673,-0.68249834
-0.39489633,0.38259283,-1.129039
-1.0176983,0.73480433,-1.2049665
-0.54439276,0.44176006,-1.1134765
-0.9457738,0.6741006,-1.1695313
0.26461935,1.2638414,-0.7058307
-1.0617356,0.81673366,-1.293561
-0.3415739,0.45625323,-1.2731733
-1.0247836,0.8141206,-1.3185108
-0.4821545,0.5599789,-1.3269441
-0.3158812,1.6688913,-0.8882944
0.11095941,1.4639071,-0.8927596
-0.4443016,1.7886764,-0.9747713
